symbol,date_et,hour_et,open,high,low,close,range
AAPL,2025-06-13,13,197.25,197.71,196.22,196.278,1.49001
AAPL,2025-06-13,14,196.26,196.64,195.81,196.22,0.83
AAPL,2025-06-13,15,196.24,196.69,195.77,196.45,0.92
AAPL,2025-06-16,9,197.29,198.685,196.5636,198.43,2.1214
AAPL,2025-06-16,10,198.435,198.66,197.165,197.315,1.49501
AAPL,2025-06-16,11,197.31,197.63,196.875,197.08,0.755
AAPL,2025-06-16,12,197.08,197.955,197.02,197.875,0.935
AAPL,2025-06-16,13,197.885,198.19,197.77,197.9887,0.42
AAPL,2025-06-16,14,197.99,198.4,197.66,198.245,0.73999
AAPL,2025-06-16,15,198.245,198.49,197.93,198.37,0.56001
AAPL,2025-06-17,9,197.2,197.93,196.255,197.58,1.67499
AAPL,2025-06-17,10,197.583,197.79,197.325,197.58,0.465
AAPL,2025-06-17,11,197.59,198.3889,197.46,197.615,0.92889
AAPL,2025-06-17,12,197.61,197.8457,196.465,196.52,1.38071
AAPL,2025-06-17,13,196.51,196.82,195.21,195.46,1.61
AAPL,2025-06-17,14,195.48,195.94,195.4203,195.84,0.5197
AAPL,2025-06-17,15,195.85,195.885,195.441,195.64,0.444
AAPL,2025-06-18,9,195.945,197.51,195.07,197.0602,2.43999
AAPL,2025-06-18,10,197.11,197.57,196.635,196.94,0.93501
AAPL,2025-06-18,11,196.85,197.23,196.5003,196.9508,0.72969
AAPL,2025-06-18,12,196.94,197.02,196.05,196.06,0.97
AAPL,2025-06-18,13,196.07,196.98,195.63,195.91,1.34999
AAPL,2025-06-18,14,195.91,196.45,195.11,195.64,1.34
AAPL,2025-06-18,15,195.63,197.11,195.466,196.25,1.644
AAPL,2025-06-20,9,198.235,200.94,197.53,198.68,3.41
AAPL,2025-06-20,10,198.69,198.69,196.8596,197.67,1.8304
AAPL,2025-06-20,11,197.71,198.86,197.7,198.49,1.16
AAPL,2025-06-20,12,198.49,199.37,198.27,198.32,1.09999
AAPL,2025-06-20,13,198.32,200.19,198.07,199.81,2.12
AAPL,2025-06-20,14,199.82,200.3367,199.6001,199.93,0.7366
AAPL,2025-06-20,15,199.92,201.7,199.77,200.94,1.92999
AAPL,2025-06-23,9,201.532,202.3,199.94,201.3718,2.36
AAPL,2025-06-23,10,201.38,201.59,200.2,200.53,1.39
AAPL,2025-06-23,11,200.33,200.52,199.51,200.1396,1.01001
AAPL,2025-06-23,12,200.14,201.52,198.96,201.439,2.56
AAPL,2025-06-23,13,201.46,202.24,201.08,201.69,1.16
AAPL,2025-06-23,14,201.67,201.8968,201.0507,201.3602,0.8461
AAPL,2025-06-23,15,201.35,201.84,201.135,201.55,0.705
AAPL,2025-06-24,9,202.59,202.78,200.2,200.9823,2.58
AAPL,2025-06-24,10,200.99,201.58,200.7404,201.38,0.8396
AAPL,2025-06-24,11,201.46,202.565,201.24,202.45,1.325
AAPL,2025-06-24,12,202.4515,203.44,201.94,201.96,1.5
AAPL,2025-06-24,13,201.96,202.33,201.31,201.57,1.02
AAPL,2025-06-24,14,201.58,202.015,201.305,201.53,0.71001
AAPL,2025-06-24,15,201.535,201.5999,200.27,200.29,1.3299
AAPL,2025-06-25,9,201.42,203.66,201.2,202.44,2.46001
AAPL,2025-06-25,10,202.44,203.175,201.99,202.1,1.185
AAPL,2025-06-25,11,202.105,202.17,201.4,201.87,0.77
AAPL,2025-06-25,12,201.88,202.1999,201.09,201.14,1.10991
AAPL,2025-06-25,13,201.14,201.28,200.6201,201.0154,0.6599
AAPL,2025-06-25,14,201.02,201.5,200.95,201.1598,0.55
AAPL,2025-06-25,15,201.14,201.62,200.885,201.6,0.735
AAPL,2025-06-26,9,201.43,202.615,199.65,199.75,2.96501
AAPL,2025-06-26,10,199.74,200.51,199.62,199.69,0.89
AAPL,2025-06-26,11,199.71,200.79,199.46,200.1228,1.32999
AAPL,2025-06-26,12,200.1378,200.27,199.635,200.24,0.63501
AAPL,2025-06-26,13,200.25,201.36,199.975,200.98,1.38499
AAPL,2025-06-26,14,200.99,201.1787,200.75,201.175,0.4287
AAPL,2025-06-26,15,201.1752,201.56,200.79,200.94,0.77
AAPL,2025-06-27,9,201.895,203.22,201.26,201.5801,1.96001
AAPL,2025-06-27,10,201.59,201.9502,200.855,201.3818,1.0952
AAPL,2025-06-27,11,201.4,202.05,201.39,201.99,0.66
AAPL,2025-06-27,12,201.99,202.7,201.73,202.08,0.97
AAPL,2025-06-27,13,202.1,202.12,200.93,201.44,1.19
AAPL,2025-06-27,14,201.45,201.52,200.79,201.125,0.73001
AAPL,2025-06-27,15,201.13,201.27,200.22,201.1,1.05
AAPL,2025-06-30,9,202.01,202.19,200.3524,201.0099,1.8376
AAPL,2025-06-30,10,201.005,201.32,199.5901,199.97,1.7299
AAPL,2025-06-30,11,199.9892,200.42,199.8,200.325,0.62
AAPL,2025-06-30,12,200.31,200.48,199.845,200.155,0.63499
AAPL,2025-06-30,13,200.155,200.83,199.9,200.695,0.93001
AAPL,2025-06-30,14,200.6951,207.09,199.2607,206.5856,7.8293
AAPL,2025-06-30,15,206.55,207.39,205.05,205.12,2.34
AAPL,2025-07-01,9,206.665,209.83,206.1401,209.5401,3.6899
AAPL,2025-07-01,10,209.5501,210.1865,207.47,207.95,2.71649
AAPL,2025-07-01,11,207.96,208.185,206.79,207.875,1.395
AAPL,2025-07-01,12,207.87,208.53,207.1,208.09,1.42999
AAPL,2025-07-01,13,208.0889,208.42,207.61,208.21,0.81
AAPL,2025-07-01,14,208.21,208.4299,207.375,208.19,1.0549
AAPL,2025-07-01,15,208.185,208.23,207.515,207.86,0.715
AAPL,2025-07-02,9,209.08,213.34,208.14,212.3,5.2
AAPL,2025-07-02,10,212.28,212.85,211.42,211.475,1.43001
AAPL,2025-07-02,11,211.49,212.02,210.86,210.9203,1.16
AAPL,2025-07-02,12,210.92,211.35,210.22,210.8181,1.13
AAPL,2025-07-02,13,210.81,211.77,210.74,211.59,1.03
AAPL,2025-07-02,14,211.575,212.96,211.37,211.945,1.59001
AAPL,2025-07-02,15,211.94,212.75,211.93,212.41,0.82001
AAPL,2025-07-03,9,212.145,213.8599,211.8101,213.735,2.04979
AAPL,2025-07-03,10,213.74,214.46,213.04,213.88,1.42001
AAPL,2025-07-03,11,213.8899,214.65,213.67,214.1,0.98
AAPL,2025-07-07,9,212.68,215.83,211.81,212.36,4.02
AAPL,2025-07-07,10,212.37,212.6,211.6,212.04,1.0
AAPL,2025-07-07,11,212.035,212.22,210.38,210.8365,1.84
AAPL,2025-07-07,12,210.839,211.1699,209.52,209.6704,1.6499
