symbol,window_days,hour_et,model,samples,l1,l2,l3,l4
MSFT,180,15,WIDE,123,3.0033,3.31011,3.61691,2.88518
MSFT,180,16,AGG,0,,,,
MSFT,180,16,CON,0,,,,
MSFT,180,16,WIDE,0,,,,
MSFT,180,17,AGG,0,,,,
MSFT,180,17,CON,0,,,,
MSFT,180,17,WIDE,0,,,,
MSFT,180,18,AGG,0,,,,
MSFT,180,18,CON,0,,,,
MSFT,180,18,WIDE,0,,,,
MSFT,180,19,AGG,0,,,,
MSFT,180,19,CON,0,,,,
MSFT,180,19,WIDE,0,,,,
MSFT,180,20,AGG,0,,,,
MSFT,180,20,CON,0,,,,
MSFT,180,20,WIDE,0,,,,
MSFT,180,21,AGG,0,,,,
MSFT,180,21,CON,0,,,,
MSFT,180,21,WIDE,0,,,,
MSFT,180,22,AGG,0,,,,
MSFT,180,22,CON,0,,,,
MSFT,180,22,WIDE,0,,,,
MSFT,180,23,AGG,0,,,,
MSFT,180,23,CON,0,,,,
MSFT,180,23,WIDE,0,,,,
MSFT,365,0,AGG,0,,,,
MSFT,365,0,CON,0,,,,
MSFT,365,0,WIDE,0,,,,
MSFT,365,1,AGG,0,,,,
MSFT,365,1,CON,0,,,,
MSFT,365,1,WIDE,0,,,,
MSFT,365,2,AGG,0,,,,
MSFT,365,2,CON,0,,,,
MSFT,365,2,WIDE,0,,,,
MSFT,365,3,AGG,0,,,,
MSFT,365,3,CON,0,,,,
MSFT,365,3,WIDE,0,,,,
MSFT,365,4,AGG,0,,,,
MSFT,365,4,CON,0,,,,
MSFT,365,4,WIDE,0,,,,
MSFT,365,5,AGG,0,,,,
MSFT,365,5,CON,0,,,,
MSFT,365,5,WIDE,0,,,,
MSFT,365,6,AGG,0,,,,
MSFT,365,6,CON,0,,,,
MSFT,365,6,WIDE,0,,,,
MSFT,365,7,AGG,0,,,,
MSFT,365,7,CON,0,,,,
MSFT,365,7,WIDE,0,,,,
MSFT,365,8,AGG,0,,,,
MSFT,365,8,CON,0,,,,
MSFT,365,8,WIDE,0,,,,
MSFT,365,9,AGG,251,4.99786,5.86121,6.72457,4.66546
MSFT,365,9,CON,251,7.06991,7.93327,8.79662,6.73752
MSFT,365,9,WIDE,251,8.45128,9.31464,10.17799,8.11889
MSFT,365,10,AGG,251,2.71538,3.18445,3.65352,2.53479
MSFT,365,10,CON,251,3.84115,4.31022,4.77929,3.66056
MSFT,365,10,WIDE,251,4.59167,5.06074,5.52981,4.41107
MSFT,365,11,AGG,251,2.06935,2.42682,2.78429,1.93172
MSFT,365,11,CON,251,2.92727,3.28474,3.64221,2.78965
MSFT,365,11,WIDE,251,3.49923,3.8567,4.21417,3.3616
MSFT,365,12,AGG,248,1.88542,2.21112,2.53682,1.76003
MSFT,365,12,CON,248,2.6671,2.99279,3.31849,2.5417
MSFT,365,12,WIDE,248,3.18821,3.51391,3.83961,3.06282
MSFT,365,13,AGG,248,1.76816,2.0736,2.37904,1.65057
MSFT,365,13,CON,248,2.50122,2.80666,3.1121,2.38363
MSFT,365,13,WIDE,248,2.98993,3.29537,3.60081,2.87233
MSFT,365,14,AGG,248,1.67902,1.96906,2.2591,1.56735
MSFT,365,14,CON,248,2.37512,2.66516,2.95521,2.26345
MSFT,365,14,WIDE,248,2.83919,3.12923,3.41927,2.72752
MSFT,365,15,AGG,249,1.76455,2.06936,2.37418,1.64719
MSFT,365,15,CON,249,2.49611,2.80092,3.10574,2.37875
MSFT,365,15,WIDE,249,2.98381,3.28863,3.59345,2.86646
MSFT,365,16,AGG,0,,,,
MSFT,365,16,CON,0,,,,
MSFT,365,16,WIDE,0,,,,
MSFT,365,17,AGG,0,,,,
MSFT,365,17,CON,0,,,,
MSFT,365,17,WIDE,0,,,,
MSFT,365,18,AGG,0,,,,
MSFT,365,18,CON,0,,,,
MSFT,365,18,WIDE,0,,,,
MSFT,365,19,AGG,0,,,,
MSFT,365,19,CON,0,,,,
MSFT,365,19,WIDE,0,,,,
MSFT,365,20,AGG,0,,,,
MSFT,365,20,CON,0,,,,
MSFT,365,20,WIDE,0,,,,
MSFT,365,21,AGG,0,,,,
MSFT,365,21,CON,0,,,,
MSFT,365,21,WIDE,0,,,,
MSFT,365,22,AGG,0,,,,
MSFT,365,22,CON,0,,,,
MSFT,365,22,WIDE,0,,,,
MSFT,365,23,AGG,0,,,,
MSFT,365,23,CON,0,,,,
MSFT,365,23,WIDE,0,,,,
MSFT,500,0,AGG,0,,,,
MSFT,500,0,CON,0,,,,
MSFT,500,0,WIDE,0,,,,
MSFT,500,1,AGG,0,,,,
MSFT,500,1,CON,0,,,,
MSFT,500,1,WIDE,0,,,,
MSFT,500,2,AGG,0,,,,
MSFT,500,2,CON,0,,,,
MSFT,500,2,WIDE,0,,,,
MSFT,500,3,AGG,0,,,,
